id,source_doc,easting,northing,gl_m_od,rockhead_m_od,top_units,notes,glacial_wording,classification,area
TP-E,TR010025-002259,417709.99,141872.99,96.99,96.64,topsoil; structureless Seaford Chalk (Dc),Phase 7B infiltration pit: topsoil over structureless Seaford Chalk from 0.35 m bgl (96.64 m OD).,n,chalk,
TP-F,TR010025-002259,417718.40,141902.08,98.24,,topsoil; made ground (concrete); structureless Seaford Chalk (Dc),Phase 7B: thin made ground with rare concrete over structureless Seaford Chalk; end 0.80 m bgl.,n,made_ground,
TP-G,TR010025-002259,417897.30,141946.26,100.42,,made ground (plastic); structureless Seaford Chalk (Dc),Phase 7B: made ground with rare plastic over structureless Seaford Chalk; end 1.40 m bgl.,n,made_ground,
TP-H,TR010025-002259,418076.17,141975.87,109.06,,topsoil; structureless Seaford Chalk (Dc),Phase 7B infiltration pit: topsoil over structureless Seaford Chalk; end 0.60 m bgl.,n,chalk,
BGS-SU14SW62,BGS,412924,141917,96.00,,topsoil; gravelly clay; chalk,Stonehenge Bottom A303 GI; Tim Holocene-flooding audit. Superficial read as periglacial colluvial/head; no Holocene aquatic/marine deposits. BGS id 17111365.,n,periglacial_coombe,
P7AI-CP70201,TR010025-002269,406650,141199,115.46,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP70202,TR010025-002269,406669,141152,117.50,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP71001,TR010025-002269,408431,141394,92.52,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP71002,TR010025-002269,408423,141355,95.46,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP71301,TR010025-002269,409370,141283,110.92,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP71302,TR010025-002269,409400,141243,111.59,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP71701,TR010025-002269,410170,141380,105.10,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-CP71702,TR010025-002269,410200,141335,102.72,,topsoil; chalk,Phase 7a(i) cable percussion GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R70201,TR010025-002269,406641,141194,115.88,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R70202,TR010025-002269,406677,141158,117.06,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R70901,TR010025-002269,407737,141492,72.18,,topsoil; gravel/sand; chalk,Phase 7a(i) rotary near River Till; GL printed. Coords: as-built log or schedule. Rockhead blank.,n,colluvium,
P7AI-R70903,TR010025-002269,407875,141479,71.98,,topsoil; gravel/sand; chalk,Phase 7a(i) rotary near River Till; GL printed. Coords: as-built log or schedule. Rockhead blank.,n,colluvium,
P7AI-R71001,TR010025-002269,408441,141392,92.29,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71002,TR010025-002269,408433,141352,95.61,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71301,TR010025-002269,409360,141283,110.87,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71302,TR010025-002269,409390,141243,111.52,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71701,TR010025-002269,410167,141382,105.22,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71901,TR010025-002269,411276,141648,101.37,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71902,TR010025-002269,411423,141797,107.87,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71903,TR010025-002269,411651,141726,105.18,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R71904,TR010025-002269,411775,141875,106.09,,topsoil; chalk,Phase 7a(i) rotary GI. Thin superficial over chalk typical; rockhead left blank pending log transcription.,n,chalk,
P7AI-R70902,TR010025-002269,407819,141485,71.77,,topsoil; gravel/sand; chalk,Phase 7a(i) rotary near River Till. E/N from schedule Table 2-1; GL 71.77 m OD from rotary log. Rockhead blank.,n,colluvium,
R4-T202,TR010025-000582,409995,141290,106.85,,ploughsoil; chalk,"Report 4: ploughsoil over chalk (mixed/powdery, water-percolation appearance).",n,chalk,
R4-T203,TR010025-000582,410233,141416,105.06,,ploughsoil; weathered chalk; chalk with periglacial striping,Report 4: pure chalk with periglacial striping.,n,periglacial_coombe,
R4-T204,TR010025-000582,411159,141627,100.82,,ploughsoil; chalk with periglacial deposits,Report 4: white chalk with light brown periglacial deposits.,n,periglacial_coombe,
R4-T206,TR010025-000582,411070,141573,100.56,,ploughsoil; chalk with periglacial deposits,Report 4: white chalk with light brown periglacial deposits.,n,periglacial_coombe,
R4-T207,TR010025-000582,411074,141631,102.26,,ploughsoil; chalk with periglacial bands,Report 4: white chalk with light brown periglacial bands.,n,periglacial_coombe,
R4-T208,TR010025-000582,411059,141621,101.70,,ploughsoil; fractured chalk; periglacial gravel,Report 4: fractured chalk with patches of periglacial gravel.,n,periglacial_coombe,
R4-T209,TR010025-000582,411042,141602,100.99,,ploughsoil; chalk with periglacial striping,Report 4: chalk with plough truncation and periglacial striping.,n,periglacial_coombe,
R4-T210,TR010025-000582,410997,141587,100.14,,ploughsoil; chalk,Report 4: dense greyish white chalk; rooting/scarring — no clear peri/coombe label.,n,chalk,
R4-T211,TR010025-000582,410973,141584,100.32,,ploughsoil; fractured chalk; periglacial/pea gravel,Report 4: fractured chalk with occasional periglacial and pea gravel deposits.,n,periglacial_coombe,
R4-T212,TR010025-000582,410918,141571,99.87,,ploughsoil; degraded chalk with striping,Report 4: yellow-white degraded chalk with striping.,n,periglacial_coombe,
R4-T214,TR010025-000582,410839,141565,104.09,,ploughsoil; chalk with periglacial stripes,Report 4: explicit periglacial stripes (NW–SE).,n,periglacial_coombe,
R4-T215,TR010025-000582,410251,141344,104.09,,ploughsoil; soliflucted chalk with periglacial stripes,Report 4: soliflucted chalk / periglacial stripes.,n,periglacial_coombe,
R4-T217,TR010025-000582,410180,141372,105.15,,ploughsoil; chalk,Report 4: creamy white chalk with bioturbation/plough scars.,n,chalk,
R4-T218,TR010025-000582,410157,141351,104.90,,ploughsoil; chalk,Report 4: compacted chalk natural.,n,chalk,
R4-T219,TR010025-000582,410139,141322,103.77,,ploughsoil; chalk with periglacial weathering,Report 4: chalk with patchy periglacial weathering.,n,periglacial_coombe,
R4-T220,TR010025-000582,410217,141387,105.79,,ploughsoil; chalk with periglacial striping NW–SE,Report 4: white chalk; periglacial striping orientated NW–SE.,n,periglacial_coombe,
R4-T222,TR010025-000582,410129,141352,105.38,,ploughsoil; chalk; rare periglacial striations,Report 4: chalk with rare periglacial striations.,n,periglacial_coombe,
R4-T223,TR010025-000582,410075,141342,105.94,,ploughsoil; chalk with periglacial striping,Report 4: chalk bedrock surface disturbed by periglacial striping.,n,periglacial_coombe,
R4-T224,TR010025-000582,410048,141339,106.01,,ploughsoil; chalk with periglacial striping,Report 4: chalk surface mixed by root disturbance and periglacial striping.,n,periglacial_coombe,
R4-T225,TR010025-000582,410131,141401,106.13,,ploughsoil; chalk,Report 4: chalk natural under ploughsoil.,n,chalk,
R4-T226,TR010025-000582,410155,141658,102.26,,ploughsoil; chalk with periglacial striping,Report 4: plough-truncated chalk; periglacial striping present.,n,periglacial_coombe,
R4-T228,TR010025-000582,411026,141568,100.13,,ploughsoil; chalk,Report 4: chalk natural under ploughsoil.,n,chalk,
R4-T230,TR010025-000582,410882,141564,97.81,,ploughsoil; degraded chalk,Report 4: degraded chalk; rare small flint nodules.,n,chalk,
R4-T231,TR010025-000582,410124,141311,103.78,,ploughsoil; chalk; abundant periglacial action,Report 4: degraded chalk surface; abundant periglacial action.,n,periglacial_coombe,
R4-T232,TR010025-000582,410190,141335,103.33,,ploughsoil; chalk with periglacial striping,Report 4: chalk with periglacial striping.,n,periglacial_coombe,
R4-T233,TR010025-000582,410097,141364,106.10,,ploughsoil; compacted chalk,Report 4: compacted chalk natural.,n,chalk,
R4-T234,TR010025-000582,410245,141370,102.21,,ploughsoil; chalk with periglacial striping NW–SE,Report 4: degraded chalk with periglacial striping NW–SE.,n,periglacial_coombe,
R4-T235,TR010025-000582,410271,141398,102.69,,ploughsoil; weathered blocky chalk,Report 4: weathered surface of blocky chalk bedrock.,n,chalk,
R4-T237,TR010025-000582,410345,141449,102.90,,ploughsoil; chalk with periglacial stripes,Report 4: chalk with periglacial stripes.,n,periglacial_coombe,
R4-T238,TR010025-000582,410294,141449,102.90,,ploughsoil; chalk,Report 4: moderately compact chalk; rare angular flint cobbles.,n,chalk,
R4-T239,TR010025-000582,410345,141455,102.91,,ploughsoil; chalk; rare periglacial striping,Report 4: moderately compact chalk; rare periglacial striping.,n,periglacial_coombe,
R4-T240,TR010025-000582,410365,141413,99.72,,ploughsoil; chalk cobbles and flint,Report 4: chalk cobbles and angular flints as natural.,n,chalk,
R4-T241,TR010025-000582,410399,141396,99.48,,ploughsoil; glacial coombe (field wording),"Western Portal & Approach (Normanton Down); area=western approach interfluve; glacial_wording_cluster=western_r4. Context 24102: ""Compact, saluted chalk, glacial coombe deposit"" (= soliflucted coombe; peri-glacial). Same §5.2 coombe-crossing group as T247/T248/T263.",y,periglacial_coombe,western_approach_interfluve
R4-T243,TR010025-000582,410397,141444,100.53,,ploughsoil; chalk with abundant periglacial striping,Report 4: chalk with abundant periglacial striping NW–SE.,n,periglacial_coombe,
R4-T244,TR010025-000582,410384,141477,101.81,,ploughsoil; chalk with periglacial scarring,Report 4: white bedrock chalk with periglacial scarring and modern plough scarring.,n,periglacial_coombe,
R4-T245,TR010025-000582,410422,141478,100.56,,ploughsoil; chalk rubble with periglacial striping,Report 4: chalk rubble; periglacial striping and plough scars.,n,periglacial_coombe,
R4-T246,TR010025-000582,410447,141447,100.98,,ploughsoil; soliflucted chalk with periglacial stripes,Report 4: soliflucted chalk with periglacial stripes.,n,periglacial_coombe,
R4-T247,TR010025-000582,410451,141409,98.99,,ploughsoil; possible colluvium; glacially affected coombe chalk,"Western Portal & Approach; area=western approach interfluve; glacial_wording_cluster=western_r4. Report 4: possible colluvial subsoil over ""Glacially affected coombe chalk"" (= peri-glacial coombe). Same §5.2 group as T241/T248/T263.",y,periglacial_coombe,western_approach_interfluve
R4-T248,TR010025-000582,410488,141433,98.72,,ploughsoil; possible colluvium; glacially affected coombe chalk,"Western Portal & Approach; area=western approach interfluve; glacial_wording_cluster=western_r4. Report 4: possible colluvial subsoil over ""Glacially affected coombe chalk"". Same §5.2 group as T241/T247/T263.",y,periglacial_coombe,western_approach_interfluve
R4-T249,TR010025-000582,410527,141432,98.82,,ploughsoil; colluvium; soliflucted chalk,Report 4: colluvium over soliflucted chalk.,n,periglacial_coombe,
R4-T250,TR010025-000582,410517,141463,98.40,,ploughsoil; solifluction chalk in shallow coombe,Report 4: solifluction chalk in base of shallow coombe.,n,periglacial_coombe,
R4-T251,TR010025-000582,410517,141489,99.24,,ploughsoil; chalk with periglacial striping,Report 4: chalk with periglacial striping.,n,periglacial_coombe,
R4-T252,TR010025-000582,410497,141514,99.44,,ploughsoil; blocky chalk; N–S periglacial striping,Report 4: blocky chalk; common N–S periglacial striping.,n,periglacial_coombe,
R4-T253,TR010025-000582,410506,141492,98.86,,ploughsoil; blocky chalk; SE–NW periglacial striping,Report 4: blocky chalk; common SE–NW periglacial striping.,n,periglacial_coombe,
R4-T255,TR010025-000582,410564,141440,98.66,,ploughsoil; blocky chalk; ~50% periglacial striping,Report 4: blocky chalk; approx. 50% periglacial striping.,n,periglacial_coombe,
R4-T256,TR010025-000582,410590,141455,98.29,,ploughsoil; blocky chalk; N–S periglacial striping,Report 4: firm blocky chalk; common periglacial striping N–S.,n,periglacial_coombe,
R4-T259,TR010025-000582,410549,141508,97.88,,ploughsoil; blocky chalk; occasional periglacial striping,Report 4: blocky chalk; occasional periglacial striping in N half.,n,periglacial_coombe,
R4-T260,TR010025-000582,410592,141520,98.07,,ploughsoil; subsoil; chalky natural,Report 4: thin subsoil over white chalky gravelly natural — no peri/coombe label on natural.,n,chalk,
R4-T261,TR010025-000582,410621,141546,98.03,,ploughsoil; chalk with periglacial stripes,Report 4: white chalk; common periglacial stripes and plough scars.,n,periglacial_coombe,
R4-T262,TR010025-000582,410656,141494,97.11,,ploughsoil; colluvium (N downslope); chalk with periglacial striping,Report 4: colluvium on northern downslope; yellow-white degraded chalk with periglacial striping.,n,periglacial_coombe,
R4-T263,TR010025-000582,410694,141501,96.82,,ploughsoil; colluvium; chalk; solution/scour features,"Western Portal & Approach; area=western approach interfluve; glacial_wording_cluster=western_r4. Contexts 26307–26308: ""glacial scouring and solution hollows""; ""scarring from glaciation"" — field wording beside solution/peri-glacial hollows. Same §5.2 group as T241/T247/T248.",y,solution,western_approach_interfluve
R4-T265,TR010025-000582,410719,141499,97.05,,ploughsoil; probable colluvium; chalk with periglacial striping,Report 4: disturbed chalk bedrock with periglacial striping; probable colluvium.,n,periglacial_coombe,
R4-T266,TR010025-000582,410671,141534,96.61,,ploughsoil; subsoil; chalk,Report 4: thin subsoil over light greyish yellow chalk natural.,n,chalk,
R4-T267,TR010025-000582,410723,141552,96.26,,ploughsoil; subsoil; degraded chalk with large periglacial striping,Report 4: degraded chalk bedrock; large periglacial stripings.,n,periglacial_coombe,
R4-T268,TR010025-000582,410742,141526,95.68,,ploughsoil; cryoturbated chalk,Report 4: cryoturbated chalk; small flint nodules.,n,periglacial_coombe,
R4-T269,TR010025-000582,410802,141526,94.58,,ploughsoil; probable colluvium; degraded chalk,Report 4: probable colluvium (subsoil) over heavily degraded chalk — shallow coombe area.,n,colluvium,
R4-T270,TR010025-000582,410779,141528,94.86,,ploughsoil; chalk with frost-shattered flint / striping,Report 4: natural with stripes and frost-shattered flints.,n,periglacial_coombe,
R4-T271,TR010025-000582,410754,141564,95.69,,ploughsoil; chalky silty clay natural,Report 4: yellowish grey silty clay with common chalk — no peri/coombe label.,n,chalk,
R4-T272,TR010025-000582,410784,141561,95.14,,ploughsoil; periglacial deposit (dissolved/broken chalk),Report 4: periglacial deposit of dissolved chalk with lines of broken chalk.,n,periglacial_coombe,
R4-T273,TR010025-000582,410807,141581,95.79,,ploughsoil; chalk with periglacial striping,Report 4: white chalky bedrock; periglacial striping.,n,periglacial_coombe,
R4-T274,TR010025-000582,410826,141543,94.75,,ploughsoil; colluvial subsoil in depressions; periglacial chalk,Report 4: orange-brown silty clay in depressions over periglacial dissolved/striped chalk (shallow coombe).,n,periglacial_coombe,
R4-T276,TR010025-000582,410895,141573,98.37,,ploughsoil; chalk,"Report 4: chalk compacted in places, broken in others.",n,chalk,
R4-T277,TR010025-000582,410886,141601,98.28,,ploughsoil; chalk with periglacial banding (deeper in shallow coombe),Report 4: chalky bedrock with periglacial banding; ploughsoil deeper in shallow coombe at NW end.,n,periglacial_coombe,
R4-T278,TR010025-000582,410945,141588,99.99,,ploughsoil; chalk with periglacial scarring,Report 4: off-white chalky bedrock; periglacial scarring.,n,periglacial_coombe,
R4-T279,TR010025-000582,410977,141638,101.51,,ploughsoil; fractured chalk with periglacial banding,Report 4: fractured chalk bedrock; some periglacial banding.,n,periglacial_coombe,
R4-T280,TR010025-000582,411026,141600,100.89,,ploughsoil; chalky silt natural,Report 4: dense grey-off white silt with abundant chalk — no peri/coombe label.,n,chalk,
R4-T283,TR010025-000582,411087,141586,100.90,,topsoil; chalk,Report 4: chalk; rare angular flint nodules.,n,chalk,
R4-T284,TR010025-000582,411039,141649,102.41,,ploughsoil; chalk with periglacial banding,Report 4: white chalky bedrock with periglacial banding.,n,periglacial_coombe,
R4-T285,TR010025-000582,411090,141663,102.84,,ploughsoil; chalk; light brown periglacial gravel,Report 4: chalk bedrock; some light brown periglacial gravel deposits.,n,periglacial_coombe,
R4-T286,TR010025-000582,411157,141592,99.82,,topsoil; chalk,Report 4: chalk with rare angular flint nodules.,n,chalk,
R4-T258,TR010025-000582,410597,141482,97.49,,ploughsoil; colluvial subsoil in shallow coombe; solifluction chalk,Gazetteer id was R4-T597 (easting fragment); Report 4 sheet is Trench 258 at this NGR/OD. Colluvial subsoil filling base of shallow coombe over solifluction chalk; also blocky chalk with periglacial striping.,n,periglacial_coombe,
R5-T501,TR010025-000584,414257,142154,86.80,,ploughsoil; subsoil; white chalk,Report 5: ploughsoil and thin subsoil over compact white chalk.,n,chalk,
R5-T502,TR010025-000584,414314,142145,83.80,,ploughsoil; thin subsoil; chalk,Report 5: thin subsoil (N section only) over chalk with yellow patches and flint nodules.,n,chalk,
R5-T503,TR010025-000584,414358,142148,84.60,,ploughsoil; weathered chalk bedrock,Report 5: ploughsoil over weathered chalk bedrock (no subsoil).,n,chalk,
R5-T504,TR010025-000584,414424,142147,78.90,,ploughsoil; colluvium; buried soil; chalk,Geoarchaeology type sequence; OSL on coombe/colluvium. Coombe = solifluction under periglacial conditions (Report 5 text).,n,colluvium,
R5-T505,TR010025-000584,414518,142159,85.60,,ploughsoil; probable colluvium (downslope); degraded chalk,Report 5: probable colluvium only at downslope NW end (~35 m) over degraded chalk.,n,colluvium,
R5-T506,TR010025-000584,414581,142167,90.80,,ploughsoil; chalk,Report 5: ploughsoil over chalk with yellow patches and flint nodules.,n,chalk,
R5-T507,TR010025-000584,414639,142165,89.40,,ploughsoil; chalk,Report 5: ploughsoil over chalk; occasional yellow discolouration.,n,chalk,
R5-T508,TR010025-000584,414666,142168,86.70,,ploughsoil; weathered chalk,Report 5: weathered chalk surface with occasional large flint nodules.,n,chalk,
R5-T509,TR010025-000584,414717,142151,82.00,,ploughsoil; chalk (upper peri material truncated),Report 5: chalk natural; modern truncation noted as removing upper periglacial material down to solid chalk.,n,chalk,
R5-T510,TR010025-000584,414788,142140,79.10,,ploughsoil; chalk; ice-wedge / cryoturbation feature,"Ice wedge / cryoturbation noted — peri-glacial patterned ground, not till.",n,periglacial_coombe,
R5-T511,TR010025-000584,414910,142118,73.20,,topsoil; subsoil; soliflucted chalk,"Eastern Portal (Countess West); lower eastern approach ~73 m OD (not western cluster). Context 51132 field wording ""glacial till… glacial activity""; same natural otherwise soliflucted chalk (51131=51103). Sample 51138 = 40L of 51135 (charred-plant flot), not assayed as till.",y,periglacial_coombe,eastern_portal_lower
R5-T512,TR010025-000584,414981,142105,70.90,,topsoil; colluvium in natural hollow; chalk,Eastern portal; colluvium-filled hollow; near Avon corridor.,n,colluvium,
